gene_1,gene_2,both_missense_lof,missense_1,lof_2,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
ENSG00000003989,ENSG00000139514,0.0,279,25,0.0181039515510989,0.9820589405019536,-2.098260735685773
ENSG00000005249,ENSG00000108946,0.0,395,1,0.0010252417007432,0.9989752836799664,-3.0829737034663465
ENSG00000006451,ENSG00000133703,0.0,30,298,0.0232042045687203,0.977062942683546,-1.996549764604457
ENSG00000007968,ENSG00000112242,0.0,688,9,0.0160716369898787,0.9840568226615596,-2.1458323748661754
ENSG00000012048,ENSG00000105173,0.0,69,8,0.001432742832431,0.9985682830535788,-2.982030586884708
ENSG00000013293,ENSG00000139514,0.0,1390,25,0.0901953141793099,0.91375269898285,-1.364231865777768
ENSG00000015532,ENSG00000124091,2.0,544,526,0.7427006613100566,0.960458394621314,-1.7560304419738164
ENSG00000017260,ENSG00000064270,0.0,123,559,0.1784621357417788,0.836555731839961,-0.9804003515076242
ENSG00000018408,ENSG00000137693,0.0,12,36,0.0011212769992938,0.99887935139687,-3.056242744677365
ENSG00000020577,ENSG00000179134,0.0,567,3,0.0044150281847196,0.9955947037247302,-2.61931740861793
ENSG00000028116,ENSG00000100749,0.0,653,161,0.2728778119600976,0.761185789746596,-0.7101221036023241
ENSG00000030110,ENSG00000171552,0.0,180,0,0.0,1.0,-inf
ENSG00000030419,ENSG00000161405,0.0,82,11,0.0023411848457478,0.9976615535900148,-2.828484757374827
ENSG00000033867,ENSG00000004939,0.0,253,16,0.010506780771161,0.9895482226450996,-2.309721915308052
ENSG00000033867,ENSG00000050438,0.0,253,74,0.0485938610666198,0.952567926068121,-1.6702791425370518
ENSG00000033867,ENSG00000080493,0.0,253,520,0.3414703750627343,0.7107245224773738,-0.5555025666397193
ENSG00000033867,ENSG00000088836,0.0,253,203,0.1333047810341059,0.8751983076101675,-1.1513132579562195
ENSG00000033867,ENSG00000113073,0.0,253,699,0.4590149849400987,0.631905775758351,-0.3369050895582146
ENSG00000033867,ENSG00000164889,0.0,253,61,0.0400571016900515,0.9607345780179106,-1.7592748043454465
ENSG00000039068,ENSG00000170558,0.0,180,7,0.0032703912479404,0.9967349506565576,-2.719903415312221
ENSG00000050820,ENSG00000087589,0.0,289,66,0.0495074941771556,0.9516980259161324,-1.6615454527114235
ENSG00000054118,ENSG00000029363,0.0,888,12,0.027658165982582,0.9727208190416662,-1.922376805759326
ENSG00000056097,ENSG00000129351,0.0,512,8,0.0106313671044159,0.9894249461399044,-2.305294100606579
ENSG00000057935,ENSG00000149480,0.0,622,16,0.0258308997615105,0.9744998638360588,-1.951477482043099
ENSG00000060237,ENSG00000126562,2.0,61,1100,0.1741613116958762,0.999226918598916,-3.1658767704971784
ENSG00000060237,ENSG00000182511,0.0,61,130,0.020582700473149,0.9796276774519732,-2.0461191929866587
ENSG00000061676,ENSG00000123338,0.0,37,105,0.0100837063478163,0.9899669637618492,-2.325110123384844
ENSG00000061938,ENSG00000169398,0.0,132,53,0.0181584580718979,0.98200541334469,-2.0970497302875653
ENSG00000062038,ENSG00000170558,0.0,680,7,0.0123548113811083,0.987721195960226,-2.248291504573384
ENSG00000065427,ENSG00000134440,0.0,37,208,0.0199753420985314,0.98022284324705,-2.058373291986776
ENSG00000069849,ENSG00000129244,0.0,50,10,0.0012977743047382,0.9987030674401636,-3.012170911007826
ENSG00000069849,ENSG00000186009,0.0,50,141,0.0182986176968096,0.9818677854794546,-2.093950061640852
ENSG00000070087,ENSG00000108518,0.0,6,41,0.0006385049579312,0.9993616988429812,-3.221188325037054
ENSG00000070756,ENSG00000101104,0.0,919,53,0.1264213861217741,0.8812434247837655,-1.1812255084256758
ENSG00000070756,ENSG00000151846,3.0,919,883,2.1062279989721984,0.8374641182538897,-0.9840889826357732
ENSG00000070831,ENSG00000136238,0.0,1,43,0.0001116085902074,0.9998883976377996,-3.6911929581398906
ENSG00000070985,ENSG00000092439,0.0,201,253,0.1319914334377107,0.87634850234125,-1.1569250205092638
ENSG00000072803,ENSG00000166167,0.0,454,214,0.2521731207023032,0.7771101925606727,-0.7624698771774022
ENSG00000072864,ENSG00000166579,0.0,433,20,0.0224774509580668,0.9777732847955592,-2.009789898160692
ENSG00000073712,ENSG00000101311,0.0,127,256,0.0843864763913014,0.91907598627734,-1.398883145990076
ENSG00000073712,ENSG00000171914,0.0,127,198,0.0652676653338972,0.9368166764669128,-1.528587861584661
