,gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,gene_pair
343707,ENSG00000003989,ENSG00000139514,0.0,135,25,0.0098706787020496,0.9901778765578568,-2.333074284101602,"('ENSG00000003989', 'ENSG00000139514')"
1238491,ENSG00000007968,ENSG00000112242,0.0,75,9,0.0019741357404099,0.9980278115839124,-2.8825762307886764,"('ENSG00000007968', 'ENSG00000112242')"
2585045,ENSG00000017260,ENSG00000064270,0.0,200,559,0.3269753715227111,0.7211015024398881,-0.5861168479388951,"('ENSG00000017260', 'ENSG00000064270')"
2631831,ENSG00000018408,ENSG00000137693,0.0,4,36,0.0004211489579541,0.99957893971282,-3.338565884161658,"('ENSG00000018408', 'ENSG00000137693')"
2763226,ENSG00000020577,ENSG00000179134,0.0,36,3,0.0003158617184655,0.9996841881605952,-3.417658227720602,"('ENSG00000020577', 'ENSG00000179134')"
3575360,ENSG00000033867,ENSG00000050438,0.0,231,74,0.0499938908838034,0.9512352356895484,-1.6569502754772971,"('ENSG00000033867', 'ENSG00000050438')"
3575913,ENSG00000033867,ENSG00000080493,0.0,231,520,0.3513084224267267,0.7037666629574522,-0.5352649288964612,"('ENSG00000033867', 'ENSG00000080493')"
4008011,ENSG00000039068,ENSG00000170558,0.0,61,7,0.0012488236461556,0.9987519558095926,-3.023815225693062,"('ENSG00000039068', 'ENSG00000170558')"
5380297,ENSG00000054118,ENSG00000029363,0.0,9,12,0.0003158617184655,0.9996841881605952,-3.417658227720602,"('ENSG00000029363', 'ENSG00000054118')"
6418137,ENSG00000062038,ENSG00000170558,0.0,153,7,0.0031322953747837,0.996872605144414,-2.7341165662226743,"('ENSG00000062038', 'ENSG00000170558')"
8089432,ENSG00000070087,ENSG00000108518,0.0,439,41,0.0526406950987234,0.948720831294324,-1.632575357868046,"('ENSG00000070087', 'ENSG00000108518')"
8764586,ENSG00000072803,ENSG00000166167,0.0,12,214,0.0075104897501817,0.9925176435024012,-2.4332319030712357,"('ENSG00000072803', 'ENSG00000166167')"
8816868,ENSG00000072864,ENSG00000166579,0.0,102,20,0.00596627690435,0.9940514859820432,-2.5151839844713786,"('ENSG00000072864', 'ENSG00000166579')"
8938665,ENSG00000073712,ENSG00000101311,0.0,13,256,0.0097332203616062,0.9903139941205448,-2.3382938128918247,"('ENSG00000073712', 'ENSG00000101311')"
9173805,ENSG00000074800,ENSG00000108515,1.0,82,733,0.1757887449082653,0.9862459135504452,-2.20423000106472,"('ENSG00000074800', 'ENSG00000108515')"
9174188,ENSG00000074800,ENSG00000111674,0.0,82,25,0.0059955233597634,0.9940224139247092,-2.51346475947403,"('ENSG00000074800', 'ENSG00000111674')"
9440007,ENSG00000075624,ENSG00000184009,0.0,1,21,6.141755636830888e-05,0.9999385843296512,-3.8404053175214536,"('ENSG00000075624', 'ENSG00000184009')"
9699737,ENSG00000076555,ENSG00000278540,1.0,1109,119,0.3859683967372424,0.9421702408095708,-1.5732561501487066,"('ENSG00000076555', 'ENSG00000278540')"
9875004,ENSG00000077312,ENSG00000125870,0.0,23,34,0.0022870728133341,0.9977155405449992,-2.8359528607776783,"('ENSG00000077312', 'ENSG00000125870')"
10652940,ENSG00000080503,ENSG00000127616,0.0,701,20,0.0410035304896995,0.959825741286924,-1.7486674628775565,"('ENSG00000080503', 'ENSG00000127616')"
