gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof
ENSG00000003989,ENSG00000139514,0.0,135,25,0.0098706787020496,0.9901778765578568,-2.333074284101602
ENSG00000005249,ENSG00000108946,0.0,29,1,8.481472069909322e-05,0.9999151888759676,-3.760428949824561
ENSG00000006451,ENSG00000133703,0.0,5,298,0.0043577218566085,0.9956517592362928,-2.623760884169193
ENSG00000007968,ENSG00000112242,0.0,75,9,0.0019741357404099,0.9980278115839124,-2.8825762307886764
ENSG00000012048,ENSG00000105173,0.0,1092,8,0.0255497034492164,0.9747739281352298,-1.956110455690114
ENSG00000013293,ENSG00000139514,0.0,113,25,0.0082621236543082,0.9917719138840418,-2.3986380469656168
ENSG00000015532,ENSG00000124091,0.0,76,526,0.1169156301609293,0.8896602504892409,-1.224723281781417
ENSG00000017260,ENSG00000064270,0.0,200,559,0.3269753715227111,0.7211015024398881,-0.5861168479388951
ENSG00000018408,ENSG00000137693,0.0,4,36,0.0004211489579541,0.99957893971282,-3.338565884161658
ENSG00000020577,ENSG00000179134,0.0,36,3,0.0003158617184655,0.9996841881605952,-3.417658227720602
ENSG00000028116,ENSG00000100749,0.0,443,161,0.2085944939455664,0.8117243280439743,-0.8842683970341826
ENSG00000030110,ENSG00000171552,0.0,248,0,0.0,1.0,-inf
ENSG00000030419,ENSG00000161405,0.0,8,11,0.0002573688076386,0.9997426643088718,-3.4730020718305163
ENSG00000033867,ENSG00000004939,0.0,231,16,0.0108094899208223,0.989248722677051,-2.299041997036293
ENSG00000033867,ENSG00000050438,0.0,231,74,0.0499938908838034,0.9512352356895484,-1.6569502754772971
ENSG00000033867,ENSG00000080493,0.0,231,520,0.3513084224267267,0.7037666629574522,-0.5352649288964612
ENSG00000033867,ENSG00000088836,0.0,231,203,0.1371454033704337,0.8718434479395236,-1.1351484981209383
ENSG00000033867,ENSG00000113073,1.0,231,699,0.4722395909159269,0.9180946232055543,-1.3923687793703932
ENSG00000033867,ENSG00000164889,0.0,231,61,0.0412111803231352,0.9596264543232872,-1.7463676278307618
ENSG00000039068,ENSG00000170558,0.0,61,7,0.0012488236461556,0.9987519558095926,-3.023815225693062
ENSG00000050820,ENSG00000087589,0.0,118,66,0.0227771394760185,0.9774803012730378,-2.00428632912373
ENSG00000054118,ENSG00000029363,0.0,9,12,0.0003158617184655,0.9996841881605952,-3.417658227720602
ENSG00000056097,ENSG00000129351,0.0,25,8,0.0005849291082696,0.9994152419294112,-3.246212240206013
ENSG00000057935,ENSG00000149480,0.0,32,16,0.0014974185171701,0.9985037020545462,-2.968497446053494
ENSG00000060237,ENSG00000126562,3.0,481,1100,1.5474299559272489,0.9282641793005943,-1.4629844227956412
ENSG00000060237,ENSG00000182511,1.0,481,130,0.182878085700493,0.985183302501691,-2.1749562506719533
ENSG00000061676,ENSG00000123338,0.0,7,105,0.0021496144728908,0.9978526942936846,-2.8556700791193057
ENSG00000061938,ENSG00000169398,0.0,727,53,0.1126895173536814,0.8934280109506121,-1.244966735179719
ENSG00000062038,ENSG00000170558,0.0,153,7,0.0031322953747837,0.996872605144414,-2.7341165662226743
ENSG00000065427,ENSG00000134440,0.0,133,208,0.0809073942558522,0.92227909583206,-1.420569988851597
ENSG00000069849,ENSG00000129244,0.0,7,10,0.0002047251878943,0.9997952957668768,-3.5339435774643717
ENSG00000069849,ENSG00000186009,0.0,7,141,0.0028866251493105,0.997117537147106,-2.760860713328884
ENSG00000070087,ENSG00000108518,0.0,439,41,0.0526406950987234,0.948720831294324,-1.632575357868046
ENSG00000070756,ENSG00000101104,0.0,3,53,0.0004650186410743,0.9995350894633364,-3.31094311779066
ENSG00000070756,ENSG00000151846,0.0,3,883,0.0077473860390309,0.9922825476038104,-2.422010494501463
ENSG00000070831,ENSG00000136238,0.0,4,43,0.0005030390331118,0.9994970874698096,-3.2888922940306293
ENSG00000070985,ENSG00000092439,1.0,532,253,0.393645591283281,0.9401436935267942,-1.5559809896301675
ENSG00000072803,ENSG00000166167,0.0,12,214,0.0075104897501817,0.9925176435024012,-2.4332319030712357
ENSG00000072864,ENSG00000166579,0.0,102,20,0.00596627690435,0.9940514859820432,-2.5151839844713786
ENSG00000073712,ENSG00000101311,0.0,13,256,0.0097332203616062,0.9903139941205448,-2.3382938128918247
ENSG00000073712,ENSG00000171914,0.0,13,198,0.0075280376234298,0.9925002270814076,-2.4323900239213807
ENSG00000074211,ENSG00000221914,0.0,5,7,0.0001023625939471,0.9998976426449244,-3.713126237009564
ENSG00000074800,ENSG00000108515,1.0,82,733,0.1757887449082653,0.9862459135504452,-2.20423000106472
ENSG00000074800,ENSG00000111674,0.0,82,25,0.0059955233597634,0.9940224139247092,-2.51346475947403
ENSG00000075624,ENSG00000107796,0.0,1,17,4.971897420291672e-05,0.9999502822617647,-3.891965282074307
ENSG00000075624,ENSG00000148156,0.0,1,59,0.0001725540869395,0.9998274607996608,-3.57887352809677
ENSG00000075624,ENSG00000159251,0.0,1,43,0.0001257597582779,0.9998742481491488,-3.6607238624672265
