symbol_1,symbol_2,Paralogs names,Correlation,gene_1,chr_1,gene_2,chr_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,both_missense,missense_1,missense_2,expected_both_missense,p-value_missense,z-score_missense,both_missense_lof,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
CCND1,CCND3,"CCND2, CCND1",0.266517226552775,ENSG00000110092,11,ENSG00000072803,5,0.0,12.0,2.0,7.0191492992353e-05,0.9999298109703728,-3.8075011981533633,0.0,454.0,19.0,0.0225088078622134,0.9777426253330864,-2.00921111611389,0.0,0.0023567581374047,0.9976460168366454,-2.826364462208682
ATP1B1,ATP1B3,"ATP1B1, ATP1B4, ATP1B2, ATP4B",0.403590572109728,ENSG00000143153,1,ENSG00000170558,18,0.0,0.0,7.0,0.0,1.0,-inf,0.0,105.0,843.0,0.2309723078974982,0.7937614466542393,-0.8195422504171678,0.0,0.0019077282279652,0.9980940903289094,-2.8933288796641063
DNM1,DNM2,"DNM1, DNM3",0.424935673225906,ENSG00000106976,9,ENSG00000198807,14,0.0,60.0,12.0,0.0021057447897705,0.9978964707354062,-2.862204129270446,0.0,518.0,2.0,0.0027033532280608,0.9973002975407634,-2.7821862186076896,0.0,0.0161339301565062,0.983995524555181,-2.1442988252375814
DNM2,DNM3,"DNM1, DNM3",0.183802146677417,ENSG00000079805,19,ENSG00000163584,3,0.0,149.0,19.0,0.0082796715275563,0.9917545105489022,-2.3978641765215345,0.0,14.0,854.0,0.0311981575238376,0.9692834832296968,-1.8703658308323377,0.0,0.0006904159301207,0.9993098223521164,-3.1987275946436804
ADSS,ADSSL1,ADSSL1,0.256821102599668,ENSG00000267312,17,ENSG00000171552,20,,,,,,,,,,,,,,,,
GFPT1,GFPT2,GFPT2,0.344949341996721,ENSG00000198380,2,ENSG00000166579,17,,,,,,,,,,,,,,,,
CDK4,CDK6,CDK4,0.213241896951827,ENSG00000135446,12,ENSG00000103496,16,0.0,18.0,115.0,0.0060540162705904,0.9939642723607428,-2.5100485819127742,0.0,276.0,276.0,0.1987747446918581,0.8197345220902091,-0.9143538260923176,0.0,0.0823827128647855,0.9209194435261374,-1.4112832446935415
RHOA,RHOB,"RHOB, RHOC",0.301765867935782,ENSG00000067560,3,ENSG00000109971,11,0.0,4.0,14.0,0.0001637801503154,0.9998362332609212,-3.592489800398216,0.0,122.0,187.0,0.0595311781322208,0.942206156905138,-1.5735665730989543,0.0,0.0044331970249859,0.9955766150879136,-2.617919401278774
NMNAT1,NMNAT3,"NMNAT3, NMNAT2",0.141876363263013,ENSG00000173614,1,ENSG00000222014,2,0.0,159.0,37.0,0.0172056897197505,0.9829414828820664,-2.118685740373756,0.0,159.0,9.0,0.0037340718816169,0.9962728910953432,-2.6758401970924446,0.0,0.0152696124695505,0.9848463769413538,-2.1660515738298765
RCOR1,RCOR2,"RCOR2, RCOR3",0.135792611160995,ENSG00000089902,14,ENSG00000015532,17,0.0,10.0,76.0,0.0022227306114245,0.9977797378250324,-2.845044324135916,1.0,376.0,544.0,0.5337400411973777,0.89939693067971,-1.278122778099831,0.0,0.0741703970644017,0.9285134643921632,-1.4648088698894917
